x,B_res
-0.139,0.11337298019840263
4.816,0.12892572316573322
13.087,0.16004492706552542
15.17,0.17420100970795072
20.38,0.2103015496959563
23.475,0.21949087158811997
24.772,0.2474703762185426
28.077,0.2584301729854327
29.596,0.2938482442081684
32.272,0.29914337874875463
34.744,0.30444022803498216
38.023,0.30441707896882353
39.198,0.2817344236246285
42.459,0.27427099322051535
47.883,0.22888424821160805
50.053,0.1937945507791969
53.327,0.19164511711772514
55.539,0.174269599533606
55.738,0.1714342676155816
59.599,0.15794350628201234
59.971,0.14235218153775067
66.083,0.12742875022080713
69.348,0.1217375094370618
70.764,0.11393284465031371
73.627,0.11143274550517943
74.63,0.10221427293711227
79.132,0.0997021705724883
80.141,0.09331817254962482
84.239,0.09293492689877605
90.372,0.08722225179451346
89.752,0.0847470164611792
85.037,0.08407226405129557
80.1,0.0763121826512234
74.363,0.07635333654661655
69.848,0.07355058479577843
64.517,0.07217192930010767
59.389,0.07008251173608425
54.677,0.07047004425103649
48.938,0.07015624579866367
42.592,0.07268120875559798
38.087,0.07413016882256539
35.22,0.07485893572015254
31.126,0.07665941864360316
27.034,0.07952304386471033
22.74,0.08345066875629475
15.375,0.08810791791828701
13.134,0.09379315709228751
5.367,0.1019965002406568
3.755,0.11369963924308583
12.991,0.11965666560124529
14.829,0.11716342543867653
20.984,0.12030826894497028
25.3,0.1255922576388875
30.436,0.1308702447230599
33.312,0.13403823729551229
34.962,0.13827794589382814
38.651,0.1386063196841527
43.379,0.1449500211844437
48.325,0.15660600468173472
53.265,0.16578246598158805
50.4,0.16722028020188645
59.245,0.18132920733917376
59.501,0.20258433693691869
64.456,0.21813793727706993
68.784,0.22873592271362855
69.624,0.2372324873666741
73.127,0.24500199986777382
74.796,0.25739017975393474
78.53,0.27649501831738726
80.187,0.28392329643585207
85.554,0.3005374669551978
85.365,0.30691546336831643
90.286,0.30829754835526996
