x,Curve1,Curve2,Curve3,Curve4,Curve5
0.2838,,,,10.162,
0.3761,,,,9.405,
0.4684,,,,8.649,
0.571,,,,7.459,
0.6326,,,,6.703,
0.7761,,,,5.405,
0.8479,,,,4.649,
0.9403,,,,3.459,
1.0019,,,,2.486,
1.0943,,,,1.405,
1.095,,38.486,,,
1.1661,,,,0.541,
1.2105,,,26.919,,
1.2485,78.27,,,,
1.2691,,37.838,,,
1.3129,,,26.595,,
1.3614,,36.865,,,
1.4842,76.973,,,,
1.4872,,,24.865,,
1.5663,,35.676,,,
1.7095,76,,,,
1.8021,,33.838,,,
1.8357,,,22.486,,
1.9076,,,21.297,,
1.9143,74.919,,,,
1.9969,,32,,,
2.1302,,30.811,,,
2.1842,,,19.676,,
2.2115,73.189,,,,
2.2329,,29.514,,,
2.3765,,27.892,,,
2.3895,,,17.081,,
2.4881,71.459,,,,
2.5126,,,15.676,,
2.5612,,25.838,,,
2.6331,,24.649,,,
2.6358,,,13.946,,
2.6727,69.838,,,,
2.8102,,,12.108,,
2.828,,22.703,,,
2.847,68.216,,,,
2.9539,,,10.378,,
2.982,,20.216,,,
3.0565,,,9.189,,
3.0827,66.595,,,,
3.2002,,,7.135,,
3.2366,65.081,,,,
3.2388,,16.324,,,
3.3029,,,5.73,,
3.3747,,,4.973,,
3.3801,63.784,,,,
3.4365,,,3.351,,
3.4853,,12.324,,,
3.5237,62.162,,,,
3.5287,,,2.595,,
3.6211,,,1.514,,
3.6293,,9.622,,,
3.6981,60.324,,,,
3.7033,,,0.108,,
3.7905,59.243,,,,
3.8349,,5.73,,,
3.9649,57.081,,,,
4.0197,,3.027,,,
4.0815,,1.405,,,
4.1227,,0.432,,,
4.1291,55.135,,,,
4.2215,53.946,,,,
4.3652,51.892,,,,
4.6731,48.108,,,,
4.9506,43.243,,,,
5.382,36.324,,,,
5.7725,29.622,,,,
6.1734,21.838,,,,
6.595,13.73,,,,
6.9758,4.432,,,,
7.0478,3.027,,,,
7.1304,0.216,,,,
