x,Curve1,Curve2,Curve3,Curve4
5.0629,,,,31.338
5.2201,,,32.803,
5.9748,,,32.361,
6.1635,,,,30.642
6.8553,,,,29.18
6.9182,,,31.792,
7.956,,,,27.911
8.1761,,,31.096,
8.9623,,,30.144,
9.0566,,,,26.196
9.8113,,,29.192,
9.9371,,32.314,,
10.0314,,,,24.48
10.1258,33.525,,,
10.8176,,,28.751,
10.8805,,,,22.382
11.6038,,,27.225,
11.8868,,30.921,,
11.9811,32.259,,,18.883
12.6101,,,,17.293
13.0503,,,25.958,
13.1447,,,,15.13
13.4591,,,,12.074
13.8365,31.821,,,
13.8994,,,,9.783
13.9308,,,24.369,
13.9937,,29.72,,
14.5283,,,,7.302
14.8428,,,23.163,
15.0943,,,,4.947
15.4717,,,,1.127
15.8491,30.046,,,
15.8805,,,20.811,
15.9748,,27.754,,
16.2264,,,,0.494
16.5723,,,,18.52
16.9497,,,,62.726
17.0755,,,18.714,
17.7044,,25.468,,
17.8302,,,15.66,
17.8616,28.335,,,
18.0189,,,,80.947
18.7107,,23.498,,
18.805,,,12.543,
19.4654,,,10.889,
19.8113,,21.4,,
19.9371,,,8.917,
19.9686,,,,88.917
20.0314,26.943,,,
20.4717,,,7.008,
20.6604,25.353,,,
20.9434,,19.494,4.654,
21.3522,,,2.108,
21.8239,25.04,,,
21.9182,,16.569,,
22.0126,,,0.454,
22.4528,,,2.686,
22.956,,13.834,,
22.9874,,,23.962,
23.522,,,53.263,
23.5535,23.072,,,
23.7736,21.863,,,
23.8994,,11.609,,
24.1195,,,70.654,
24.8428,,,,94.161
24.9686,,8.301,,
25,,,80.149,
25.0629,21.041,,,
25.9434,19.134,,,
26.1321,,4.739,,
26.478,,2.766,,
26.7925,,,87.163,
26.8239,16.844,,,
26.8553,,1.048,,
27.4214,,10.668,,
27.8616,15.83,,,
27.9245,,27.295,,
28.4906,,42.52,,
29.0566,12.65,,,
29.5597,,59.913,,
29.8428,9.851,,,
30,,,91.444,
30.4088,9.344,,,
30.9119,7.499,,,
31.3522,5.399,,,
31.8553,4.127,,,
32.4528,2.282,,,
33.9308,7.766,,,
34.3082,13.5,,,
